site_id,siren,source_fichier,zip
ChIJZUjR3hxu5kcR2LPC5_XJdJ0,,ChIJZUjR3hxu5kcR2LPC5_XJdJ0/mentions-legales.php.html,pages_html_batch00003_20260629_223550.zip
ChIJZUjR3hxu5kcR2LPC5_XJdJ0,,ChIJZUjR3hxu5kcR2LPC5_XJdJ0/mentions-legales.html,pages_html_batch00003_20260629_223550.zip
ChIJZUjR3hxu5kcR2LPC5_XJdJ0,,ChIJZUjR3hxu5kcR2LPC5_XJdJ0/mentions-legales.html.html,pages_html_batch00003_20260629_223550.zip
ChIJZRjd2JLTqRIRYID_vu6HIks,,ChIJZRjd2JLTqRIRYID_vu6HIks/mentions_legales.html,pages_html_batch00004_20260629_223949.zip
ChIJZRjd2JLTqRIRYID_vu6HIks,,ChIJZRjd2JLTqRIRYID_vu6HIks/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJZRjd2JLTqRIRYID_vu6HIks,,ChIJZRjd2JLTqRIRYID_vu6HIks/mentions-legales.html.html,pages_html_batch00004_20260629_223949.zip
ChIJlQ7hLABv5kcR3tCjxV5RnDA,952528818,ChIJlQ7hLABv5kcR3tCjxV5RnDA/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJXTpATfdt5kcRHijPj5GI5rE,,ChIJXTpATfdt5kcRHijPj5GI5rE/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJJxrW6q965kcRLpC_IXmvijA,,ChIJJxrW6q965kcRLpC_IXmvijA/mentions_legales.html,pages_html_batch00004_20260629_223949.zip
ChIJJxrW6q965kcRLpC_IXmvijA,,ChIJJxrW6q965kcRLpC_IXmvijA/mentions-legales.php.html,pages_html_batch00004_20260629_223949.zip
ChIJJxrW6q965kcRLpC_IXmvijA,,ChIJJxrW6q965kcRLpC_IXmvijA/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJJxrW6q965kcRLpC_IXmvijA,,ChIJJxrW6q965kcRLpC_IXmvijA/mentions-legales.html.html,pages_html_batch00004_20260629_223949.zip
ChIJD8uJZw9v5kcRyoVY3c1smYE,,ChIJD8uJZw9v5kcRyoVY3c1smYE/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJ37AJwvBv5kcRifzfRAP9Erw,,ChIJ37AJwvBv5kcRifzfRAP9Erw/mentions_legales.html,pages_html_batch00004_20260629_223949.zip
ChIJ37AJwvBv5kcRifzfRAP9Erw,,ChIJ37AJwvBv5kcRifzfRAP9Erw/mentions-legales.php.html,pages_html_batch00004_20260629_223949.zip
ChIJ37AJwvBv5kcRifzfRAP9Erw,,ChIJ37AJwvBv5kcRifzfRAP9Erw/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJ37AJwvBv5kcRifzfRAP9Erw,,ChIJ37AJwvBv5kcRifzfRAP9Erw/mentions-legales.html.html,pages_html_batch00004_20260629_223949.zip
ChIJOwzT70lv5kcRzIscDHZSN7g,,ChIJOwzT70lv5kcRzIscDHZSN7g/mentions_legales.html,pages_html_batch00004_20260629_223949.zip
ChIJOwzT70lv5kcRzIscDHZSN7g,,ChIJOwzT70lv5kcRzIscDHZSN7g/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJOwzT70lv5kcRzIscDHZSN7g,,ChIJOwzT70lv5kcRzIscDHZSN7g/mentions-legales.html.html,pages_html_batch00004_20260629_223949.zip
ChIJU81IAlf69UcRtowEG-PcXlI,445267693,ChIJU81IAlf69UcRtowEG-PcXlI/mentions-legales.html.html,pages_html_batch00004_20260629_223949.zip
ChIJlcaUYGJ05kcR4TEcu8Xhz1w,509578621,ChIJlcaUYGJ05kcR4TEcu8Xhz1w/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
